"Notes"	"County"	"County Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Butte County, CA"	"06007"	"Cesarean"	"2"	876
	"Contra Costa County, CA"	"06013"	"Vaginal"	"1"	12415
	"Contra Costa County, CA"	"06013"	"Cesarean"	"2"	4370
	"El Dorado County, CA"	"06017"	"Vaginal"	"1"	1488
	"El Dorado County, CA"	"06017"	"Cesarean"	"2"	518
	"Fresno County, CA"	"06019"	"Vaginal"	"1"	12215
	"Fresno County, CA"	"06019"	"Cesarean"	"2"	5239
	"Humboldt County, CA"	"06023"	"Vaginal"	"1"	1460
	"Humboldt County, CA"	"06023"	"Cesarean"	"2"	429
	"Imperial County, CA"	"06025"	"Vaginal"	"1"	2573
	"Imperial County, CA"	"06025"	"Cesarean"	"2"	1154
	"Kern County, CA"	"06029"	"Vaginal"	"1"	13609
	"Kern County, CA"	"06029"	"Cesarean"	"2"	4088
	"Kings County, CA"	"06031"	"Vaginal"	"1"	1793
	"Kings County, CA"	"06031"	"Cesarean"	"2"	852
	"Los Angeles County, CA"	"06037"	"Vaginal"	"1"	121166
	"Los Angeles County, CA"	"06037"	"Cesarean"	"2"	56356
	"Madera County, CA"	"06039"	"Vaginal"	"1"	1625
	"Madera County, CA"	"06039"	"Cesarean"	"2"	751
	"Marin County, CA"	"06041"	"Vaginal"	"1"	2575
	"Marin County, CA"	"06041"	"Cesarean"	"2"	878
	"Merced County, CA"	"06047"	"Vaginal"	"1"	2906
	"Merced County, CA"	"06047"	"Cesarean"	"2"	1519
	"Monterey County, CA"	"06053"	"Vaginal"	"1"	5362
	"Monterey County, CA"	"06053"	"Cesarean"	"2"	1803
	"Napa County, CA"	"06055"	"Vaginal"	"1"	1399
	"Napa County, CA"	"06055"	"Cesarean"	"2"	496
	"Orange County, CA"	"06059"	"Vaginal"	"1"	37026
	"Orange County, CA"	"06059"	"Cesarean"	"2"	16565
	"Placer County, CA"	"06061"	"Vaginal"	"1"	3679
	"Placer County, CA"	"06061"	"Cesarean"	"2"	1143
	"Riverside County, CA"	"06065"	"Vaginal"	"1"	26319
	"Riverside County, CA"	"06065"	"Cesarean"	"2"	10146
	"Sacramento County, CA"	"06067"	"Vaginal"	"1"	18546
	"Sacramento County, CA"	"06067"	"Cesarean"	"2"	6488
	"San Bernardino County, CA"	"06071"	"Vaginal"	"1"	27185
	"San Bernardino County, CA"	"06071"	"Cesarean"	"2"	10295
	"San Diego County, CA"	"06073"	"Vaginal"	"1"	45470
	"San Diego County, CA"	"06073"	"Cesarean"	"2"	19792
	"San Francisco County, CA"	"06075"	"Vaginal"	"1"	13012
	"San Francisco County, CA"	"06075"	"Cesarean"	"2"	4129
	"San Joaquin County, CA"	"06077"	"Vaginal"	"1"	7939
	"San Joaquin County, CA"	"06077"	"Cesarean"	"2"	3142
	"San Luis Obispo County, CA"	"06079"	"Vaginal"	"1"	2667
	"San Luis Obispo County, CA"	"06079"	"Cesarean"	"2"	1007
	"San Mateo County, CA"	"06081"	"Vaginal"	"1"	10212
	"San Mateo County, CA"	"06081"	"Cesarean"	"2"	3818
	"Santa Barbara County, CA"	"06083"	"Vaginal"	"1"	5117
	"Santa Barbara County, CA"	"06083"	"Cesarean"	"2"	2097
	"Santa Clara County, CA"	"06085"	"Vaginal"	"1"	25971
	"Santa Clara County, CA"	"06085"	"Cesarean"	"2"	10305
	"Santa Cruz County, CA"	"06087"	"Vaginal"	"1"	2974
	"Santa Cruz County, CA"	"06087"	"Cesarean"	"2"	1041
	"Shasta County, CA"	"06089"	"Vaginal"	"1"	1886
	"Shasta County, CA"	"06089"	"Cesarean"	"2"	739
	"Solano County, CA"	"06095"	"Vaginal"	"1"	5077
	"Solano County, CA"	"06095"	"Cesarean"	"2"	1611
	"Sonoma County, CA"	"06097"	"Vaginal"	"1"	5449
	"Sonoma County, CA"	"06097"	"Cesarean"	"2"	1643
	"Stanislaus County, CA"	"06099"	"Vaginal"	"1"	6339
	"Stanislaus County, CA"	"06099"	"Cesarean"	"2"	2541
	"Tulare County, CA"	"06107"	"Vaginal"	"1"	5554
	"Tulare County, CA"	"06107"	"Cesarean"	"2"	2242
	"Ventura County, CA"	"06111"	"Vaginal"	"1"	9530
	"Ventura County, CA"	"06111"	"Cesarean"	"2"	3787
	"Yolo County, CA"	"06113"	"Vaginal"	"1"	2495
	"Yolo County, CA"	"06113"	"Cesarean"	"2"	659
	"Unidentified Counties, CA"	"06999"	"Vaginal"	"1"	9101
	"Unidentified Counties, CA"	"06999"	"Cesarean"	"2"	3390
	"Adams County, CO"	"08001"	"Vaginal"	"1"	6976
	"Adams County, CO"	"08001"	"Cesarean"	"2"	1683
	"Arapahoe County, CO"	"08005"	"Vaginal"	"1"	7610
	"Arapahoe County, CO"	"08005"	"Cesarean"	"2"	2682
	"Boulder County, CO"	"08013"	"Vaginal"	"1"	3392
	"Boulder County, CO"	"08013"	"Cesarean"	"2"	984
	"Denver County, CO"	"08031"	"Vaginal"	"1"	10766
	"Denver County, CO"	"08031"	"Cesarean"	"2"	3711
	"Douglas County, CO"	"08035"	"Vaginal"	"1"	3049
	"Douglas County, CO"	"08035"	"Cesarean"	"2"	1241
	"El Paso County, CO"	"08041"	"Vaginal"	"1"	9751
	"El Paso County, CO"	"08041"	"Cesarean"	"2"	2258
	"Jefferson County, CO"	"08059"	"Vaginal"	"1"	6442
	"Jefferson County, CO"	"08059"	"Cesarean"	"2"	2104
	"Larimer County, CO"	"08069"	"Vaginal"	"1"	3545
	"Larimer County, CO"	"08069"	"Cesarean"	"2"	1523
	"Mesa County, CO"	"08077"	"Vaginal"	"1"	1849
	"Mesa County, CO"	"08077"	"Cesarean"	"2"	387
	"Pueblo County, CO"	"08101"	"Vaginal"	"1"	1805
	"Pueblo County, CO"	"08101"	"Cesarean"	"2"	456
	"Weld County, CO"	"08123"	"Vaginal"	"1"	3453
	"Weld County, CO"	"08123"	"Cesarean"	"2"	1300
	"Unidentified Counties, CO"	"08999"	"Vaginal"	"1"	8295
	"Unidentified Counties, CO"	"08999"	"Cesarean"	"2"	2727
	"Fairfield County, CT"	"09001"	"Vaginal"	"1"	9121
	"Fairfield County, CT"	"09001"	"Cesarean"	"2"	4795
	"Fairfield County, CT"	"09001"	"Not Stated"	"9"	41
	"Hartford County, CT"	"09003"	"Vaginal"	"1"	9293
	"Hartford County, CT"	"09003"	"Cesarean"	"2"	3983
	"Hartford County, CT"	"09003"	"Not Stated"	"9"	66
	"Litchfield County, CT"	"09005"	"Vaginal"	"1"	1319
	"Litchfield County, CT"	"09005"	"Cesarean"	"2"	641
	"Middlesex County, CT"	"09007"	"Vaginal"	"1"	1418
	"Middlesex County, CT"	"09007"	"Cesarean"	"2"	637
	"Middlesex County, CT"	"09007"	"Not Stated"	"9"	11
	"New Haven County, CT"	"09009"	"Vaginal"	"1"	8835
	"New Haven County, CT"	"09009"	"Cesarean"	"2"	3629
	"New Haven County, CT"	"09009"	"Not Stated"	"9"	25
	"New London County, CT"	"09011"	"Vaginal"	"1"	2581
	"New London County, CT"	"09011"	"Cesarean"	"2"	1114
	"New London County, CT"	"09011"	"Not Stated"	"9"	52
	"Tolland County, CT"	"09013"	"Vaginal"	"1"	1136
	"Tolland County, CT"	"09013"	"Cesarean"	"2"	462
	"Windham County, CT"	"09015"	"Vaginal"	"1"	1015
	"Windham County, CT"	"09015"	"Cesarean"	"2"	426
	"Windham County, CT"	"09015"	"Not Stated"	"9"	12
	"Kent County, DE"	"10001"	"Vaginal"	"1"	2002
	"Kent County, DE"	"10001"	"Cesarean"	"2"	639
	"New Castle County, DE"	"10003"	"Vaginal"	"1"	5922
	"New Castle County, DE"	"10003"	"Cesarean"	"2"	2537
	"Sussex County, DE"	"10005"	"Vaginal"	"1"	1766
	"Sussex County, DE"	"10005"	"Cesarean"	"2"	775
	"District of Columbia, DC"	"11001"	"Vaginal"	"1"	9628
	"District of Columbia, DC"	"11001"	"Cesarean"	"2"	4340
	"Alachua County, FL"	"12001"	"Vaginal"	"1"	2796
	"Alachua County, FL"	"12001"	"Cesarean"	"2"	1087
	"Bay County, FL"	"12005"	"Vaginal"	"1"	2303
	"Bay County, FL"	"12005"	"Cesarean"	"2"	807
	"Brevard County, FL"	"12009"	"Vaginal"	"1"	4488
	"Brevard County, FL"	"12009"	"Cesarean"	"2"	1812
	"Broward County, FL"	"12011"	"Vaginal"	"1"	18166
	"Broward County, FL"	"12011"	"Cesarean"	"2"	11530
	"Charlotte County, FL"	"12015"	"Vaginal"	"1"	934
	"Charlotte County, FL"	"12015"	"Cesarean"	"2"	388
	"Citrus County, FL"	"12017"	"Vaginal"	"1"	920
	"Citrus County, FL"	"12017"	"Cesarean"	"2"	364
	"Clay County, FL"	"12019"	"Vaginal"	"1"	1895
	"Clay County, FL"	"12019"	"Cesarean"	"2"	694
	"Collier County, FL"	"12021"	"Vaginal"	"1"	2517
	"Collier County, FL"	"12021"	"Cesarean"	"2"	1349
	"Duval County, FL"	"12031"	"Vaginal"	"1"	10820
	"Duval County, FL"	"12031"	"Cesarean"	"2"	4860
	"Duval County, FL"	"12031"	"Not Stated"	"9"	13
	"Escambia County, FL"	"12033"	"Vaginal"	"1"	3514
	"Escambia County, FL"	"12033"	"Cesarean"	"2"	1302
	"Hernando County, FL"	"12053"	"Vaginal"	"1"	1202
	"Hernando County, FL"	"12053"	"Cesarean"	"2"	611
	"Hillsborough County, FL"	"12057"	"Vaginal"	"1"	14145
	"Hillsborough County, FL"	"12057"	"Cesarean"	"2"	6781
	"Indian River County, FL"	"12061"	"Vaginal"	"1"	1110
	"Indian River County, FL"	"12061"	"Cesarean"	"2"	426
	"Lake County, FL"	"12069"	"Vaginal"	"1"	2290
	"Lake County, FL"	"12069"	"Cesarean"	"2"	1251
	"Lee County, FL"	"12071"	"Vaginal"	"1"	5183
	"Lee County, FL"	"12071"	"Cesarean"	"2"	2594
	"Leon County, FL"	"12073"	"Vaginal"	"1"	2987
	"Leon County, FL"	"12073"	"Cesarean"	"2"	1182
	"Manatee County, FL"	"12081"	"Vaginal"	"1"	2908
	"Manatee County, FL"	"12081"	"Cesarean"	"2"	1125
	"Marion County, FL"	"12083"	"Vaginal"	"1"	2758
	"Marion County, FL"	"12083"	"Cesarean"	"2"	1080
	"Martin County, FL"	"12085"	"Vaginal"	"1"	1028
	"Martin County, FL"	"12085"	"Cesarean"	"2"	385
	"Miami-Dade County, FL"	"12086"	"Vaginal"	"1"	22818
	"Miami-Dade County, FL"	"12086"	"Cesarean"	"2"	18667
	"Okaloosa County, FL"	"12091"	"Vaginal"	"1"	2505
	"Okaloosa County, FL"	"12091"	"Cesarean"	"2"	1018
	"Okaloosa County, FL"	"12091"	"Not Stated"	"9"	11
	"Orange County, FL"	"12095"	"Vaginal"	"1"	13980
	"Orange County, FL"	"12095"	"Cesarean"	"2"	6362
	"Osceola County, FL"	"12097"	"Vaginal"	"1"	3374
	"Osceola County, FL"	"12097"	"Cesarean"	"2"	1522
	"Palm Beach County, FL"	"12099"	"Vaginal"	"1"	12417
	"Palm Beach County, FL"	"12099"	"Cesarean"	"2"	6338
	"Pasco County, FL"	"12101"	"Vaginal"	"1"	4102
	"Pasco County, FL"	"12101"	"Cesarean"	"2"	2035
	"Pinellas County, FL"	"12103"	"Vaginal"	"1"	8391
	"Pinellas County, FL"	"12103"	"Cesarean"	"2"	3300
	"Polk County, FL"	"12105"	"Vaginal"	"1"	5993
	"Polk County, FL"	"12105"	"Cesarean"	"2"	2317
	"St. Johns County, FL"	"12109"	"Vaginal"	"1"	1743
	"St. Johns County, FL"	"12109"	"Cesarean"	"2"	788
	"St. Lucie County, FL"	"12111"	"Vaginal"	"1"	2330
	"St. Lucie County, FL"	"12111"	"Cesarean"	"2"	1161
	"Santa Rosa County, FL"	"12113"	"Vaginal"	"1"	1693
	"Santa Rosa County, FL"	"12113"	"Cesarean"	"2"	692
	"Sarasota County, FL"	"12115"	"Vaginal"	"1"	2606
	"Sarasota County, FL"	"12115"	"Cesarean"	"2"	1231
	"Seminole County, FL"	"12117"	"Vaginal"	"1"	3875
	"Seminole County, FL"	"12117"	"Cesarean"	"2"	1880
	"Volusia County, FL"	"12127"	"Vaginal"	"1"	4044
	"Volusia County, FL"	"12127"	"Cesarean"	"2"	1934
	"Unidentified Counties, FL"	"12999"	"Vaginal"	"1"	10329
	"Unidentified Counties, FL"	"12999"	"Cesarean"	"2"	4404
	"Bartow County, GA"	"13015"	"Vaginal"	"1"	478
	"Bartow County, GA"	"13015"	"Cesarean"	"2"	226
	"Bibb County, GA"	"13021"	"Vaginal"	"1"	1911
	"Bibb County, GA"	"13021"	"Cesarean"	"2"	722
	"Carroll County, GA"	"13045"	"Vaginal"	"1"	715
	"Carroll County, GA"	"13045"	"Cesarean"	"2"	211
	"Chatham County, GA"	"13051"	"Vaginal"	"1"	3551
	"Chatham County, GA"	"13051"	"Cesarean"	"2"	1799
	"Cherokee County, GA"	"13057"	"Vaginal"	"1"	2200
	"Cherokee County, GA"	"13057"	"Cesarean"	"2"	1049
	"Clarke County, GA"	"13059"	"Vaginal"	"1"	1356
	"Clarke County, GA"	"13059"	"Cesarean"	"2"	540
	"Clayton County, GA"	"13063"	"Vaginal"	"1"	2814
	"Clayton County, GA"	"13063"	"Cesarean"	"2"	1011
	"Cobb County, GA"	"13067"	"Vaginal"	"1"	8083
	"Cobb County, GA"	"13067"	"Cesarean"	"2"	3819
	"Columbia County, GA"	"13073"	"Vaginal"	"1"	633
	"Columbia County, GA"	"13073"	"Cesarean"	"2"	304
	"Coweta County, GA"	"13077"	"Vaginal"	"1"	683
	"Coweta County, GA"	"13077"	"Cesarean"	"2"	279
	"DeKalb County, GA"	"13089"	"Vaginal"	"1"	9035
	"DeKalb County, GA"	"13089"	"Cesarean"	"2"	4169
	"DeKalb County, GA"	"13089"	"Not Stated"	"9"	15
	"Douglas County, GA"	"13097"	"Vaginal"	"1"	728
	"Douglas County, GA"	"13097"	"Cesarean"	"2"	262
	"Fayette County, GA"	"13113"	"Vaginal"	"1"	369
	"Fayette County, GA"	"13113"	"Cesarean"	"2"	131
	"Forsyth County, GA"	"13117"	"Vaginal"	"1"	763
	"Forsyth County, GA"	"13117"	"Cesarean"	"2"	355
	"Fulton County, GA"	"13121"	"Vaginal"	"1"	11215
	"Fulton County, GA"	"13121"	"Cesarean"	"2"	5130
	"Fulton County, GA"	"13121"	"Not Stated"	"9"	29
	"Gwinnett County, GA"	"13135"	"Vaginal"	"1"	8512
	"Gwinnett County, GA"	"13135"	"Cesarean"	"2"	3742
	"Hall County, GA"	"13139"	"Vaginal"	"1"	2087
	"Hall County, GA"	"13139"	"Cesarean"	"2"	786
	"Henry County, GA"	"13151"	"Vaginal"	"1"	2409
	"Henry County, GA"	"13151"	"Cesarean"	"2"	828
	"Houston County, GA"	"13153"	"Vaginal"	"1"	1681
	"Houston County, GA"	"13153"	"Cesarean"	"2"	665
	"Lowndes County, GA"	"13185"	"Vaginal"	"1"	707
	"Lowndes County, GA"	"13185"	"Cesarean"	"2"	363
	"Muscogee County, GA"	"13215"	"Vaginal"	"1"	2571
	"Muscogee County, GA"	"13215"	"Cesarean"	"2"	1125
	"Muscogee County, GA"	"13215"	"Not Stated"	"9"	10
	"Paulding County, GA"	"13223"	"Vaginal"	"1"	701
	"Paulding County, GA"	"13223"	"Cesarean"	"2"	274
	"Richmond County, GA"	"13245"	"Vaginal"	"1"	2765
	"Richmond County, GA"	"13245"	"Cesarean"	"2"	1159
	"Whitfield County, GA"	"13313"	"Vaginal"	"1"	474
	"Whitfield County, GA"	"13313"	"Cesarean"	"2"	227
	"Unidentified Counties, GA"	"13999"	"Vaginal"	"1"	40460
	"Unidentified Counties, GA"	"13999"	"Cesarean"	"2"	17736
	"Unidentified Counties, GA"	"13999"	"Not Stated"	"9"	75
	"Hawaii County, HI"	"15001"	"Vaginal"	"1"	1820
	"Hawaii County, HI"	"15001"	"Cesarean"	"2"	695
	"Honolulu County, HI"	"15003"	"Vaginal"	"1"	13097
	"Honolulu County, HI"	"15003"	"Cesarean"	"2"	3466
	"Honolulu County, HI"	"15003"	"Not Stated"	"9"	79
	"Maui County, HI"	"15009"	"Vaginal"	"1"	1760
	"Maui County, HI"	"15009"	"Cesarean"	"2"	552
	"Maui County, HI"	"15009"	"Not Stated"	"9"	15
	"Unidentified Counties, HI"	"15999"	"Vaginal"	"1"	745
	"Unidentified Counties, HI"	"15999"	"Cesarean"	"2"	224
	"Ada County, ID"	"16001"	"Vaginal"	"1"	4939
	"Ada County, ID"	"16001"	"Cesarean"	"2"	1536
	"Bonneville County, ID"	"16019"	"Vaginal"	"1"	746
	"Bonneville County, ID"	"16019"	"Cesarean"	"2"	183
	"Canyon County, ID"	"16027"	"Vaginal"	"1"	2350
	"Canyon County, ID"	"16027"	"Cesarean"	"2"	790
	"Kootenai County, ID"	"16055"	"Vaginal"	"1"	1555
	"Kootenai County, ID"	"16055"	"Cesarean"	"2"	519
	"Unidentified Counties, ID"	"16999"	"Vaginal"	"1"	10437
	"Unidentified Counties, ID"	"16999"	"Cesarean"	"2"	2790
	"Champaign County, IL"	"17019"	"Vaginal"	"1"	2185
	"Champaign County, IL"	"17019"	"Cesarean"	"2"	891
	"Champaign County, IL"	"17019"	"Not Stated"	"9"	16
	"Cook County, IL"	"17031"	"Vaginal"	"1"	64691
	"Cook County, IL"	"17031"	"Cesarean"	"2"	24919
	"Cook County, IL"	"17031"	"Not Stated"	"9"	113
	"DeKalb County, IL"	"17037"	"Vaginal"	"1"	529
	"DeKalb County, IL"	"17037"	"Cesarean"	"2"	187
	"DuPage County, IL"	"17043"	"Vaginal"	"1"	9742
	"DuPage County, IL"	"17043"	"Cesarean"	"2"	4042
	"DuPage County, IL"	"17043"	"Not Stated"	"9"	10
	"Kane County, IL"	"17089"	"Vaginal"	"1"	5481
	"Kane County, IL"	"17089"	"Cesarean"	"2"	2288
	"Kankakee County, IL"	"17091"	"Vaginal"	"1"	1153
	"Kankakee County, IL"	"17091"	"Cesarean"	"2"	405
	"Kendall County, IL"	"17093"	"Vaginal"	"1"	627
	"Kendall County, IL"	"17093"	"Cesarean"	"2"	268
	"Lake County, IL"	"17097"	"Vaginal"	"1"	6516
	"Lake County, IL"	"17097"	"Cesarean"	"2"	2544
	"LaSalle County, IL"	"17099"	"Vaginal"	"1"	1031
	"LaSalle County, IL"	"17099"	"Cesarean"	"2"	396
	"McHenry County, IL"	"17111"	"Vaginal"	"1"	2898
	"McHenry County, IL"	"17111"	"Cesarean"	"2"	1055
	"McLean County, IL"	"17113"	"Vaginal"	"1"	1849
	"McLean County, IL"	"17113"	"Cesarean"	"2"	979
	"Macon County, IL"	"17115"	"Vaginal"	"1"	1156
	"Macon County, IL"	"17115"	"Cesarean"	"2"	489
	"Madison County, IL"	"17119"	"Vaginal"	"1"	2919
	"Madison County, IL"	"17119"	"Cesarean"	"2"	998
	"Peoria County, IL"	"17143"	"Vaginal"	"1"	2357
	"Peoria County, IL"	"17143"	"Cesarean"	"2"	973
	"Rock Island County, IL"	"17161"	"Vaginal"	"1"	1530
	"Rock Island County, IL"	"17161"	"Cesarean"	"2"	609
	"St. Clair County, IL"	"17163"	"Vaginal"	"1"	2898
	"St. Clair County, IL"	"17163"	"Cesarean"	"2"	1042
	"Sangamon County, IL"	"17167"	"Vaginal"	"1"	2135
	"Sangamon County, IL"	"17167"	"Cesarean"	"2"	698
	"Tazewell County, IL"	"17179"	"Vaginal"	"1"	1491
	"Tazewell County, IL"	"17179"	"Cesarean"	"2"	484
	"Will County, IL"	"17197"	"Vaginal"	"1"	6409
	"Will County, IL"	"17197"	"Cesarean"	"2"	2790
	"Winnebago County, IL"	"17201"	"Vaginal"	"1"	2867
	"Winnebago County, IL"	"17201"	"Cesarean"	"2"	1215
	"Unidentified Counties, IL"	"17999"	"Vaginal"	"1"	20501
	"Unidentified Counties, IL"	"17999"	"Cesarean"	"2"	7952
	"Unidentified Counties, IL"	"17999"	"Not Stated"	"9"	14
	"Allen County, IN"	"18003"	"Vaginal"	"1"	5149
	"Allen County, IN"	"18003"	"Cesarean"	"2"	1389
	"Clark County, IN"	"18019"	"Vaginal"	"1"	730
	"Clark County, IN"	"18019"	"Cesarean"	"2"	278
	"Delaware County, IN"	"18035"	"Vaginal"	"1"	1495
	"Delaware County, IN"	"18035"	"Cesarean"	"2"	232
	"Elkhart County, IN"	"18039"	"Vaginal"	"1"	2664
	"Elkhart County, IN"	"18039"	"Cesarean"	"2"	808
	"Hamilton County, IN"	"18057"	"Vaginal"	"1"	3603
	"Hamilton County, IN"	"18057"	"Cesarean"	"2"	1445
	"Hendricks County, IN"	"18063"	"Vaginal"	"1"	1567
	"Hendricks County, IN"	"18063"	"Cesarean"	"2"	659
	"Johnson County, IN"	"18081"	"Vaginal"	"1"	1744
	"Johnson County, IN"	"18081"	"Cesarean"	"2"	666
	"Lake County, IN"	"18089"	"Vaginal"	"1"	5272
	"Lake County, IN"	"18089"	"Cesarean"	"2"	1926
	"La Porte County, IN"	"18091"	"Vaginal"	"1"	1030
	"La Porte County, IN"	"18091"	"Cesarean"	"2"	434
	"Madison County, IN"	"18095"	"Vaginal"	"1"	1344
	"Madison County, IN"	"18095"	"Cesarean"	"2"	637
	"Marion County, IN"	"18097"	"Vaginal"	"1"	13937
	"Marion County, IN"	"18097"	"Cesarean"	"2"	4955
	"Monroe County, IN"	"18105"	"Vaginal"	"1"	1450
	"Monroe County, IN"	"18105"	"Cesarean"	"2"	453
	"Porter County, IN"	"18127"	"Vaginal"	"1"	1766
	"Porter County, IN"	"18127"	"Cesarean"	"2"	563
	"St. Joseph County, IN"	"18141"	"Vaginal"	"1"	3321
	"St. Joseph County, IN"	"18141"	"Cesarean"	"2"	1002
	"Tippecanoe County, IN"	"18157"	"Vaginal"	"1"	2397
	"Tippecanoe County, IN"	"18157"	"Cesarean"	"2"	644
	"Vanderburgh County, IN"	"18163"	"Vaginal"	"1"	2118
	"Vanderburgh County, IN"	"18163"	"Cesarean"	"2"	1024
	"Vigo County, IN"	"18167"	"Vaginal"	"1"	1230
	"Vigo County, IN"	"18167"	"Cesarean"	"2"	480
	"Unidentified Counties, IN"	"18999"	"Vaginal"	"1"	26506
