"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	Births
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	30
	"Los Angeles County, CA"	"06037"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"40-44 years"	"40-44"	"2nd month"	"02"	15
	"Marin County, CA"	"06041"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	21
	"Marin County, CA"	"06041"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	13
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	29
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"1st month"	"01"	12
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	37
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	10
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"1st month"	"01"	14
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	19
	"Orange County, CA"	"06059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"40-44 years"	"40-44"	"2nd month"	"02"	11
	"Riverside County, CA"	"06065"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"1st month"	"01"	10
	"Riverside County, CA"	"06065"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	21
	"Riverside County, CA"	"06065"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	14
	"Riverside County, CA"	"06065"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"1st month"	"01"	14
	"Riverside County, CA"	"06065"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	21
	"Riverside County, CA"	"06065"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	10
	"Sacramento County, CA"	"06067"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"1st month"	"01"	11
	"Sacramento County, CA"	"06067"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	12
	"Sacramento County, CA"	"06067"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"1st month"	"01"	11
	"Sacramento County, CA"	"06067"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	18
	"Sacramento County, CA"	"06067"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"1st month"	"01"	11
	"Sacramento County, CA"	"06067"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	27
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"15-19 years"	"15-19"	"2nd month"	"02"	21
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"15-19 years"	"15-19"	"3rd month"	"03"	27
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"15-19 years"	"15-19"	"4th month"	"04"	12
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"No prenatal care"	"00"	14
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	100
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"3rd month"	"03"	102
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"4th month"	"04"	30
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"5th month"	"05"	29
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"6th month"	"06"	17
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"7th month"	"07"	10
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"No prenatal care"	"00"	20
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"1st month"	"01"	18
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	185
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	148
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"4th month"	"04"	46
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"5th month"	"05"	25
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"6th month"	"06"	16
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"7th month"	"07"	10
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"8th month"	"08"	14
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"No prenatal care"	"00"	13
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"1st month"	"01"	15
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	169
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	119
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"4th month"	"04"	41
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"5th month"	"05"	16
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"6th month"	"06"	12
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	102
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	67
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"4th month"	"04"	25
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"5th month"	"05"	12
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"40-44 years"	"40-44"	"2nd month"	"02"	22
	"San Diego County, CA"	"06073"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"40-44 years"	"40-44"	"3rd month"	"03"	24
	"San Joaquin County, CA"	"06077"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	14
	"San Joaquin County, CA"	"06077"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	12
	"San Joaquin County, CA"	"06077"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	13
	"San Joaquin County, CA"	"06077"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	11
	"San Joaquin County, CA"	"06077"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	11
	"San Mateo County, CA"	"06081"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	11
	"San Mateo County, CA"	"06081"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	10
	"San Mateo County, CA"	"06081"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	33
	"San Mateo County, CA"	"06081"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	13
	"San Mateo County, CA"	"06081"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	26
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	13
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"1st month"	"01"	14
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	59
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"1st month"	"01"	22
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	114
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	29
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"1st month"	"01"	13
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	72
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	20
	"Santa Clara County, CA"	"06085"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"40-44 years"	"40-44"	"2nd month"	"02"	17
	"Solano County, CA"	"06095"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	13
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	31
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"3rd month"	"03"	10
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	59
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	13
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	106
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	20
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	54
	"Sonoma County, CA"	"06097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	18
	"Stanislaus County, CA"	"06099"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	10
	"Stanislaus County, CA"	"06099"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	10
	"Stanislaus County, CA"	"06099"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	13
	"Ventura County, CA"	"06111"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	15
	"Ventura County, CA"	"06111"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	10
	"Denver County, CO"	"08031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	10
	"Denver County, CO"	"08031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	16
	"Denver County, CO"	"08031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	10
	"Jefferson County, CO"	"08059"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	12
	"Unidentified Counties, CO"	"08999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	11
	"Unidentified Counties, CO"	"08999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	25
	"Unidentified Counties, CO"	"08999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	11
	"Unidentified Counties, CO"	"08999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	14
	"Fairfield County, CT"	"09001"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Excluded"	"98"	10
	"Fulton County, GA"	"13121"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	27
	"Fulton County, GA"	"13121"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Not stated/Not on certificate"	"99"	11
	"Fulton County, GA"	"13121"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	11
	"Gwinnett County, GA"	"13135"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Not stated/Not on certificate"	"99"	10
	"Unidentified Counties, GA"	"13999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	17
	"Unidentified Counties, GA"	"13999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	27
	"Unidentified Counties, GA"	"13999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	19
	"Unidentified Counties, GA"	"13999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	18
	"Unidentified Counties, GA"	"13999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	12
	"Champaign County, IL"	"17019"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	12
	"Champaign County, IL"	"17019"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	19
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	23
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"3rd month"	"03"	20
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"Not stated/Not on certificate"	"99"	10
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	43
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	27
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	63
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	30
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Not stated/Not on certificate"	"99"	18
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	29
	"Cook County, IL"	"17031"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	27
	"DuPage County, IL"	"17043"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	15
	"Lake County, IL"	"17097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	13
	"Lake County, IL"	"17097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	13
	"Lake County, IL"	"17097"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	14
	"Unidentified Counties, IL"	"17999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	11
	"Essex County, MA"	"25009"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	10
	"Essex County, MA"	"25009"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	10
	"Essex County, MA"	"25009"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	24
	"Essex County, MA"	"25009"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	17
	"Essex County, MA"	"25009"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	12
	"Essex County, MA"	"25009"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	15
	"Middlesex County, MA"	"25017"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	16
	"Middlesex County, MA"	"25017"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	22
	"Middlesex County, MA"	"25017"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	38
	"Middlesex County, MA"	"25017"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	35
	"Middlesex County, MA"	"25017"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"2nd month"	"02"	18
	"Middlesex County, MA"	"25017"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	26
	"Norfolk County, MA"	"25021"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	10
	"Norfolk County, MA"	"25021"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	17
	"Suffolk County, MA"	"25025"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	12
	"Suffolk County, MA"	"25025"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	11
	"Suffolk County, MA"	"25025"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	28
	"Suffolk County, MA"	"25025"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	18
	"Ramsey County, MN"	"27123"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	11
	"Unidentified Counties, MO"	"29999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	12
	"Unidentified Counties, MO"	"29999"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	12
	"Bergen County, NJ"	"34003"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"Excluded"	"98"	10
	"Bergen County, NJ"	"34003"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Excluded"	"98"	29
	"Bergen County, NJ"	"34003"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"Excluded"	"98"	17
	"Burlington County, NJ"	"34005"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"Excluded"	"98"	28
	"Burlington County, NJ"	"34005"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Excluded"	"98"	40
	"Burlington County, NJ"	"34005"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"Excluded"	"98"	24
	"Camden County, NJ"	"34007"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"25-29 years"	"25-29"	"Excluded"	"98"	19
	"Camden County, NJ"	"34007"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"30-34 years"	"30-34"	"Excluded"	"98"	49
	"Camden County, NJ"	"34007"	"Origin unknown or not stated"	"9"	"White"	"2106-3"	"35-39 years"	"35-39"	"Excluded"	"98"	19
