"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Pregnancy-associated Hypertension"	"Pregnancy-associated Hypertension Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	17
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	12
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	14
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	43
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	33
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	15
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	11
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"15-19 years"	"15-19"	"Yes"	"1"	"Vaginal"	"1"	66
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"15-19 years"	"15-19"	"Yes"	"1"	"Cesarean"	"2"	18
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	1296
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	204
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Vaginal"	"1"	139
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Cesarean"	"2"	55
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	3638
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	813
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"25-29 years"	"25-29"	"Yes"	"1"	"Vaginal"	"1"	112
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"25-29 years"	"25-29"	"Yes"	"1"	"Cesarean"	"2"	68
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	3207
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	984
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"30-34 years"	"30-34"	"Yes"	"1"	"Vaginal"	"1"	96
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"30-34 years"	"30-34"	"Yes"	"1"	"Cesarean"	"2"	57
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	2100
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	856
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"35-39 years"	"35-39"	"Yes"	"1"	"Vaginal"	"1"	44
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"35-39 years"	"35-39"	"Yes"	"1"	"Cesarean"	"2"	35
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	998
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	466
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"40-44 years"	"40-44"	"Yes"	"1"	"Vaginal"	"1"	16
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"40-44 years"	"40-44"	"Yes"	"1"	"Cesarean"	"2"	10
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	204
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	138
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	19
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	67
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	23
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	46
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	21
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	27
	"Mohave County, AZ"	"04015"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	18
	"Navajo County, AZ"	"04017"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	23
	"Navajo County, AZ"	"04017"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	20
	"Navajo County, AZ"	"04017"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	11
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"15-19 years"	"15-19"	"Yes"	"1"	"Vaginal"	"1"	24
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	289
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	41
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Vaginal"	"1"	54
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Cesarean"	"2"	18
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	925
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	209
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"25-29 years"	"25-29"	"Yes"	"1"	"Vaginal"	"1"	39
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"25-29 years"	"25-29"	"Yes"	"1"	"Cesarean"	"2"	15
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	868
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	236
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"30-34 years"	"30-34"	"Yes"	"1"	"Vaginal"	"1"	35
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"30-34 years"	"30-34"	"Yes"	"1"	"Cesarean"	"2"	14
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	582
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	244
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"35-39 years"	"35-39"	"Yes"	"1"	"Vaginal"	"1"	21
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	234
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	103
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	44
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Cesarean"	"2"	24
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	105
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	22
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Vaginal"	"1"	10
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	279
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	78
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"25-29 years"	"25-29"	"Yes"	"1"	"Vaginal"	"1"	13
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	211
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	98
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	141
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	75
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	42
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	29
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	35
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	83
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	24
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	58
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	19
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	31
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	18
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	17
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"15-19 years"	"15-19"	"Yes"	"1"	"Vaginal"	"1"	10
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	133
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Cesarean"	"2"	26
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"20-24 years"	"20-24"	"Yes"	"1"	"Vaginal"	"1"	21
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	409
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	112
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"25-29 years"	"25-29"	"Yes"	"1"	"Vaginal"	"1"	14
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	364
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	148
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"30-34 years"	"30-34"	"Yes"	"1"	"Vaginal"	"1"	11
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	223
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	108
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	85
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	54
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	12
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	68
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	212
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	71
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	164
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	73
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	84
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	44
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	44
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	25
	"Benton County, AR"	"05007"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	30
	"Benton County, AR"	"05007"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	77
	"Benton County, AR"	"05007"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	20
	"Benton County, AR"	"05007"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	69
	"Benton County, AR"	"05007"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	28
	"Benton County, AR"	"05007"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	66
	"Benton County, AR"	"05007"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	35
	"Benton County, AR"	"05007"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	31
	"Benton County, AR"	"05007"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	21
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	14
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	48
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	11
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	51
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	11
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	57
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Cesarean"	"2"	18
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	19
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	11
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"40-44 years"	"40-44"	"No"	"2"	"Vaginal"	"1"	10
	"Saline County, AR"	"05125"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	13
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	11
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	35
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	15
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	29
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	22
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	30
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Vaginal"	"1"	17
	"Sebastian County, AR"	"05131"	"White"	"2106-3"	"35-39 years"	"35-39"	"No"	"2"	"Cesarean"	"2"	14
	"Washington County, AR"	"05143"	"White"	"2106-3"	"15-19 years"	"15-19"	"No"	"2"	"Vaginal"	"1"	35
	"Washington County, AR"	"05143"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Vaginal"	"1"	85
	"Washington County, AR"	"05143"	"White"	"2106-3"	"20-24 years"	"20-24"	"No"	"2"	"Cesarean"	"2"	26
	"Washington County, AR"	"05143"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Vaginal"	"1"	60
	"Washington County, AR"	"05143"	"White"	"2106-3"	"25-29 years"	"25-29"	"No"	"2"	"Cesarean"	"2"	27
	"Washington County, AR"	"05143"	"White"	"2106-3"	"30-34 years"	"30-34"	"No"	"2"	"Vaginal"	"1"	64
